model,estimator,K,N,MAE,median_AE,max_AE,num_rows
"3B","oracle_full_distribution",256,2,0.003378970783297755,0.002289712429046631,0.016951918601989746,119
"3B","oracle_full_distribution",256,4,0.004269437804183732,0.0023421595873287515,0.022422226841868564,119
"3B","oracle_full_distribution",256,8,0.005639141465438472,0.0035573683182081595,0.026703907936959814,119
"3B","oracle_full_distribution",256,16,0.007295208483582757,0.004867286921744096,0.05440242094965436,119
"3B","oracle_full_distribution",256,32,0.009941131837405812,0.006146398449416557,0.08775432571908637,119
"3B","oracle_full_distribution",256,48,0.011979654469907881,0.006829288173312076,0.10843456679814956,119
"3B","oracle_full_distribution",256,64,0.013513069854448594,0.006977123557066457,0.12176926493131907,119
"3B","oracle_full_distribution",256,128,0.018343685754186108,0.008535870841121063,0.15029086252648904,119
"3B","oracle_full_distribution",256,256,0.02534812739284482,0.011707098360761115,0.28532275766657655,119
"3B","oracle_full_distribution",512,1,0.003145105698529412,0.002197265625,0.017822265625,119
"3B","oracle_full_distribution",512,2,0.003378970783297755,0.002289712429046631,0.016951918601989746,119
"3B","oracle_full_distribution",512,4,0.004269437804183732,0.0023421595873287515,0.022422226841868564,119
"3B","oracle_full_distribution",512,8,0.005639141465438472,0.0035573683182081595,0.026703907936959814,119
"3B","oracle_full_distribution",512,16,0.007295208483582757,0.004867286921744096,0.05440242094965436,119
"3B","oracle_full_distribution",512,32,0.009941131837405812,0.006146398449416557,0.08775432571908637,119
"3B","oracle_full_distribution",512,48,0.011979654469907881,0.006829288173312076,0.10843456679814956,119
"3B","oracle_full_distribution",512,64,0.013513069854448594,0.006977123557066457,0.12176926493131907,119
"3B","oracle_full_distribution",512,128,0.018343685754186108,0.008535870841121063,0.15029086252648904,119
"3B","oracle_full_distribution",512,256,0.02534812739284482,0.011707098360761115,0.28532275766657655,119
"3B","oracle_full_distribution",1024,1,0.003145105698529412,0.002197265625,0.017822265625,119
"3B","oracle_full_distribution",1024,2,0.003378970783297755,0.002289712429046631,0.016951918601989746,119
"3B","oracle_full_distribution",1024,4,0.004269437804183732,0.0023421595873287515,0.022422226841868564,119
"3B","oracle_full_distribution",1024,8,0.005639141465438472,0.0035573683182081595,0.026703907936959814,119
"3B","oracle_full_distribution",1024,16,0.007295208483582757,0.004867286921744096,0.05440242094965436,119
"3B","oracle_full_distribution",1024,32,0.009941131837405812,0.006146398449416557,0.08775432571908637,119
"3B","oracle_full_distribution",1024,48,0.011979654469907881,0.006829288173312076,0.10843456679814956,119
"3B","oracle_full_distribution",1024,64,0.013513069854448594,0.006977123557066457,0.12176926493131907,119
"3B","oracle_full_distribution",1024,128,0.018343685754186108,0.008535870841121063,0.15029086252648904,119
"3B","oracle_full_distribution",1024,256,0.02534812739284482,0.011707098360761115,0.28532275766657655,119
"3B","raw_plugin",8,1,0.08595801601890757,0.05126953125,0.41748046875,119
"3B","raw_plugin",8,2,0.0939472282634062,0.05060744285583496,0.42520785331726074,119
"3B","raw_plugin",8,4,0.11159708440711205,0.05086472817578169,0.5635485983791,119
"3B","raw_plugin",8,8,0.13439156549451875,0.04908746819883998,0.6799124868091739,119
"3B","raw_plugin",8,16,0.16432998084328185,0.05235771683472923,0.822573002085183,119
"3B","raw_plugin",8,32,0.1818789092438117,0.05194401403763982,0.9169795819320635,119
"3B","raw_plugin",8,48,0.18524307057427264,0.04884715693023356,0.9260650113877978,119
"3B","raw_plugin",8,64,0.18656515829919076,0.04523527291032765,0.9279292382866307,119
"3B","raw_plugin",8,128,0.1900842158161723,0.05225103932114528,0.9780927871015486,119
"3B","raw_plugin",8,256,0.1947053549515458,0.03231336126340134,0.9981206222965477,119
"3B","raw_plugin",16,1,0.05656266412815126,0.04248046875,0.2001953125,119
"3B","raw_plugin",16,2,0.0610398424773657,0.03911876678466797,0.2962799072265625,119
"3B","raw_plugin",16,4,0.07479385746639544,0.034013877652569136,0.43448728601720177,119
"3B","raw_plugin",16,8,0.09663629499063349,0.04500101921533177,0.6359855008050483,119
"3B","raw_plugin",16,16,0.12083963209282339,0.054167185339763585,0.7972384551959621,119
"3B","raw_plugin",16,32,0.14055611787563524,0.051498533701901494,0.8966291244892904,119
"3B","raw_plugin",16,48,0.14803445494471026,0.04293819077559824,0.9222161387093987,119
"3B","raw_plugin",16,64,0.1514208915928392,0.044263143926241644,0.9279292483388213,119
"3B","raw_plugin",16,128,0.15288415773202704,0.04817216043825956,0.9780927871044152,119
"3B","raw_plugin",16,256,0.1544259647386703,0.031075424670521122,0.9981206222965477,119
"3B","raw_plugin",32,1,0.04298105961134454,0.03369140625,0.1748046875,119
"3B","raw_plugin",32,2,0.044719637942915204,0.027635574340820312,0.18566250801086426,119
