model,estimator,K,N,MAE,median_AE,max_AE,num_rows
"3B","shrink_raw_to_tune_alpha128",64,2,0.037346272786458336,0.02381388346354167,0.2373046875,500
"3B","shrink_raw_to_tune_alpha128",64,8,0.058764940508685554,0.030526419196163168,0.4968587701206448,500
"3B","shrink_raw_to_tune_alpha128",64,16,0.0783724865439087,0.03458731859962895,0.6957479853781509,500
"3B","shrink_raw_to_tune_alpha128",64,32,0.10042938184533816,0.022956066332021928,0.8462654242532042,500
"3B","shrink_raw_to_tune_alpha128",96,2,0.038578714037698414,0.020817832341269757,0.2680276537698415,500
"3B","shrink_raw_to_tune_alpha128",96,8,0.05959997533623815,0.03016431122898902,0.4321513491960872,500
"3B","shrink_raw_to_tune_alpha128",96,16,0.07678011106135998,0.03575545894353421,0.5827112996258472,500
"3B","shrink_raw_to_tune_alpha128",96,32,0.09503620466677061,0.025709221190171078,0.7762540821609494,500
"3B","shrink_raw_to_tune_alpha128",128,2,0.0419425048828125,0.0260467529296875,0.24517822265625,500
"3B","shrink_raw_to_tune_alpha128",128,8,0.06405007541049383,0.034190004033382904,0.4264714778979992,500
"3B","shrink_raw_to_tune_alpha128",128,16,0.08128253683150848,0.026843420162683207,0.6575453432442109,500
"3B","shrink_raw_to_tune_alpha128",128,32,0.10319376029527311,0.021640627050253335,0.8257076019963119,500
"3B","shrink_raw_to_tune_alpha128",160,2,0.050199479166666665,0.030588107638888806,0.2869791666666668,500
"3B","shrink_raw_to_tune_alpha128",160,8,0.07311977778777091,0.03709938772470227,0.6079194394543521,500
"3B","shrink_raw_to_tune_alpha128",160,16,0.09164845680345539,0.03816054502713701,0.732298066002939,500
"3B","shrink_raw_to_tune_alpha128",160,32,0.11373030676825158,0.02306099840528667,0.8443164097745263,500
"3B","shrink_raw_to_tune_alpha16",8,2,0.04779621042060493,0.025933364839319486,0.3064154064272204,500
"3B","shrink_raw_to_tune_alpha16",8,8,0.07463092624483053,0.03417904305687508,0.42684506287470003,500
"3B","shrink_raw_to_tune_alpha16",8,16,0.091110988468676,0.03518816450489143,0.5544253428611312,500
"3B","shrink_raw_to_tune_alpha16",8,32,0.10773846465212125,0.020080158962285988,0.6993965559344784,500
"3B","shrink_raw_to_tune_alpha16",16,2,0.044192616864669416,0.02579214553202471,0.2789901859504136,500
"3B","shrink_raw_to_tune_alpha16",16,8,0.06886466639643739,0.03237621225967842,0.5062951695311815,500
"3B","shrink_raw_to_tune_alpha16",16,16,0.08864279512358222,0.03241798241660043,0.6674173868941762,500
"3B","shrink_raw_to_tune_alpha16",16,32,0.11258057300792687,0.027045608743556028,0.8224477995385064,500
"3B","shrink_raw_to_tune_alpha16",32,2,0.04011861979166666,0.0253255208333331,0.2477083333333334,500
