model,N,difficulty_bin,num_problems,actual_acc_mean,auc_only_pred_mean,moment_pred_mean,auc_only_mae,moment_mae,mean_p,mean_kappa,mean_theta
70B,4,all_correct,43,1.0,1.0,1.0,0.0,0.0,1.0,,0.25
70B,4,easy,18,0.9030248068978266,0.8834963516144098,0.9030248068978266,0.0379674761017309,4.3175339846533866e-17,0.8842592592592592,0.55279947072035,0.2560505487154432
70B,4,hard,11,0.1113022826737427,0.14053342216532497,0.1113022826737427,0.03468586404900029,4.435372523804336e-18,0.09280303030303029,0.5961176714189803,0.3306530245671413
70B,4,medium,13,0.5627661521165346,0.5839071878618163,0.5627661521165346,0.07538901848974043,1.708035422500241e-17,0.5560897435897436,0.5398579908771939,0.2520781423299621
70B,4,no_correct,15,0.0,0.008114415496109362,0.0,0.008114415496109362,0.0,0.0,,0.0
70B,8,all_correct,43,1.0,0.9959723762240053,1.0,0.004027623775994638,0.0,1.0,,0.125
70B,8,easy,18,0.8984131453896309,0.8806202709263586,0.8984131453896309,0.05815128411674183,3.0839528461809905e-17,0.8842592592592592,0.55279947072035,0.12756642437775992
70B,8,hard,11,0.11441871188300136,0.14870742765263137,0.11441871188300136,0.062062590577502116,0.0,0.09280303030303029,0.5961176714189803,0.1729065687090409
70B,8,medium,13,0.524973532424368,0.584134884749848,0.524973532424368,0.14600198899578912,1.2810265668751807e-17,0.5560897435897436,0.5398579908771939,0.11753415216242072
70B,8,no_correct,15,0.0,0.009005212754523262,0.0,0.009005212754523262,0.0,0.0,,0.0
70B,16,all_correct,43,1.0,0.9904315143255978,1.0,0.009568485674402272,0.0,1.0,,0.0625
70B,16,easy,18,0.8828724011906045,0.8767270869640966,0.8828724011906045,0.0780440260503559,1.850371707708594e-17,0.8842592592592592,0.55279947072035,0.06278694655220048
70B,16,hard,11,0.11182447264193694,0.15622990070062587,0.11182447264193694,0.10264023330192086,1.2714734591738547e-18,0.09280303030303029,0.5961176714189803,0.07784115839512566
70B,16,medium,13,0.46308042318900305,0.5836458959546365,0.463080423189003,0.23063117721548465,1.3877787807814457e-17,0.5560897435897436,0.5398579908771939,0.052073504006456266
70B,16,no_correct,15,0.0,0.00917932432969415,0.0,0.00917932432969415,0.0,0.0,,0.0
70B,32,all_correct,43,1.0,0.9834572810607038,1.0,0.016542718939296153,0.0,1.0,,0.03125
70B,32,easy,18,0.857407159651928,0.8717190586056788,0.857407159651928,0.10797973288436441,3.0839528461809905e-17,0.8842592592592592,0.55279947072035,0.030547745971667113
70B,32,hard,11,0.1119547473426027,0.1624493088699964,0.1119547473426027,0.15185253597008644,0.0,0.09280303030303029,0.5961176714189803,0.030832579808230606
70B,32,medium,13,0.40311812560959726,0.5817235357929386,0.40311812560959726,0.32595771752329633,1.814787636406506e-17,0.5560897435897436,0.5398579908771939,0.022898066588493318
70B,32,no_correct,15,0.0,0.00792006453837868,0.0,0.00792006453837868,0.0,0.0,,0.0
70B,48,all_correct,43,1.0,0.97818781039449,1.0,0.021812189605510013,0.0,1.0,,0.020833333333333332
70B,48,easy,18,0.8445223525582761,0.8678641453529249,0.8445223525582761,0.1289218911219172,1.2335811384723961e-17,0.8842592592592592,0.55279947072035,0.020086562778887016
70B,48,hard,11,0.1236678858601893,0.1650057878485127,0.1236678858601893,0.18222390677500575,0.0,0.09280303030303029,0.5961176714189803,0.019829395321901196
70B,48,medium,13,0.3829568759952095,0.5794092214504963,0.3829568759952095,0.37814533070891654,0.0,0.5560897435897436,0.5398579908771939,0.01464352251181383
70B,48,no_correct,15,0.0,0.005993639046824373,0.0,0.005993639046824373,0.0,0.0,,0.0
8B,2,all_correct,3,1.0,1.0,1.0,0.0,0.0,1.0,,0.5
8B,2,easy,16,0.9367947048611112,0.9367947048611112,0.936794704861111,7.632783294297951e-17,3.469446951953614e-17,0.9166666666666666,0.6764971998458023,0.5110638954476541
8B,2,hard,23,0.08503170289855076,0.08503170289855072,0.08503170289855076,1.0033112625731077e-16,0.0,0.11050724637681159,0.41322947686993733,0.42869187475165754
8B,2,medium,39,0.531261128917379,0.531261128917379,0.531261128917379,1.8290212649273411e-16,1.7792035651044177e-17,0.4973290598290598,0.5695761516186889,0.5339869703356209
8B,2,no_correct,19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
8B,3,all_correct,3,1.0,1.0,1.0,0.0,0.0,1.0,,0.3333333333333333
8B,3,easy,16,0.9410886411313657,0.9476043767517237,0.9410886411313657,0.010666041692183978,3.469446951953614e-17,0.9166666666666666,0.6764971998458023,0.34229164375741933
8B,3,hard,23,0.07158470460950087,0.0928069015855674,0.07158470460950087,0.031337804660601896,6.033820786006285e-19,0.11050724637681159,0.41322947686993733,0.270441290983071
8B,3,medium,39,0.5446202349685423,0.5337601731558002,0.5446202349685423,0.04690949795737292,7.11681426041767e-18,0.4973290598290598,0.5695761516186889,0.36488335218277285
8B,3,no_correct,19,0.0,0.007626421216681334,0.0,0.007626421216681334,0.0,0.0,,0.0
8B,4,all_correct,3,1.0,1.0,1.0,0.0,0.0,1.0,,0.25
8B,4,easy,16,0.9417561896053361,0.9486226920786899,0.9417561896053361,0.01284801458412567,4.163336342344337e-17,0.9166666666666666,0.6764971998458023,0.2569041990454939
8B,4,hard,23,0.0629134370125051,0.09231586752352594,0.0629134370125051,0.039283949990022375,7.636554432289205e-19,0.11050724637681159,0.41322947686993733,0.19480008624006787
8B,4,medium,39,0.5515110104021372,0.5348905855825035,0.5515110104021372,0.06173802285445064,2.846725704167068e-18,0.4973290598290598,0.5695761516186889,0.2770480118213762
8B,4,no_correct,19,0.0,0.008114415496109362,0.0,0.008114415496109362,0.0,0.0,,0.0
8B,8,all_correct,3,1.0,0.9959723762240054,1.0,0.004027623775994638,0.0,1.0,,0.125
8B,8,easy,16,0.9371905545237988,0.9503991794319069,0.9371905545237988,0.02568611820372512,3.469446951953614e-17,0.9166666666666666,0.6764971998458023,0.12780963825218528
8B,8,hard,23,0.04503513799560518,0.09090972704297294,0.04503513799560518,0.05921180446906975,1.2068378133640355e-18,0.11050724637681159,0.41322947686993733,0.08231575614416474
8B,8,medium,39,0.5625247205964493,0.537329238512734,0.5625247205964493,0.09817595781583181,4.270088556250602e-18,0.4973290598290598,0.5695761516186889,0.14098588004829207
8B,8,no_correct,19,0.0,0.009005212754523262,0.0,0.009005212754523262,0.0,0.0,,0.0
8B,16,all_correct,3,1.0,0.9904315143255977,1.0,0.009568485674402272,0.0,1.0,,0.0625
8B,16,easy,16,0.9284363994527689,0.9502934452862968,0.9284363994527689,0.05190128030515138,2.7755575615628914e-17,0.9166666666666666,0.6764971998458023,0.0632715286057653
8B,16,hard,23,0.029929828697724536,0.08894270211466457,0.029929828697724536,0.06963803943649748,1.1313413973761785e-19,0.11050724637681159,0.41322947686993733,0.028765069679962153
8B,16,medium,39,0.5689836981813833,0.5390512057597211,0.5689836981813833,0.13969977676121026,7.11681426041767e-18,0.4973290598290598,0.5695761516186889,0.07086533850383038
8B,16,no_correct,19,0.0,0.00917932432969415,0.0,0.00917932432969415,0.0,0.0,,0.0
8B,32,all_correct,3,1.0,0.9834572810607037,1.0,0.016542718939296153,0.0,1.0,,0.03125
8B,32,easy,16,0.9175096246168486,0.9484459551630912,0.9175096246168486,0.08919728103742848,4.163336342344337e-17,0.9166666666666666,0.6764971998458023,0.031235750581112335
8B,32,hard,23,0.016308387569189717,0.08643731499513788,0.016308387569189717,0.07194257783964848,1.1784806222668526e-21,0.11050724637681159,0.41322947686993733,0.007676227025432883
8B,32,medium,39,0.5643710380575957,0.5393398016402221,0.5643710380575957,0.1986444327395892,1.209858424271004e-17,0.4973290598290598,0.5695761516186889,0.03453687548581706
8B,32,no_correct,19,0.0,0.00792006453837868,0.0,0.00792006453837868,0.0,0.0,,0.0
8B,48,all_correct,3,1.0,0.97818781039449,1.0,0.021812189605510013,0.0,1.0,,0.020833333333333332
8B,48,easy,16,0.9085328302925565,0.9466309502401669,0.9085328302925565,0.1128669107260904,6.938893903907228e-18,0.9166666666666666,0.6764971998458023,0.020611321563070096
8B,48,hard,23,0.009054027847577547,0.08456084800821612,0.009054027847577547,0.07550974561151025,1.8413764113102e-23,0.11050724637681159,0.41322947686993733,0.0028093576100652047
8B,48,medium,39,0.5561406737049903,0.538318813673209,0.5561406737049903,0.25133171661682,9.963539964584738e-18,0.4973290598290598,0.5695761516186889,0.02231258121897128
8B,48,no_correct,19,0.0,0.005993639046824373,0.0,0.005993639046824373,0.0,0.0,,0.0
Dracarys70B,2,all_correct,19,1.0,1.0,1.0,0.0,0.0,1.0,,0.5
Dracarys70B,2,easy,28,0.903475322420635,0.903475322420635,0.903475322420635,7.533656238527848e-17,3.568574007723718e-17,0.8861607142857143,0.597083763611588,0.5103174235528373
Dracarys70B,2,hard,14,0.0732266865079365,0.07322668650793651,0.0732266865079365,8.922983879555701e-17,9.912705577010326e-19,0.09226190476190477,0.4075161697183115,0.4188226332199548
Dracarys70B,2,medium,21,0.46567046957671954,0.46567046957671954,0.46567046957671954,1.8239378261699e-16,5.28677630773884e-18,0.4712301587301588,0.489843546138965,0.4947871123816879
Dracarys70B,2,no_correct,18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Dracarys70B,3,all_correct,19,1.0,1.0,1.0,0.0,0.0,1.0,,0.3333333333333333
Dracarys70B,3,easy,28,0.9076479957217262,0.9069758373437224,0.9076479957217262,0.018834920226857507,3.172065784643304e-17,0.8861607142857143,0.597083763611588,0.3418464656719836
Dracarys70B,3,hard,14,0.06580687830687827,0.08085953541101899,0.06580687830687827,0.021761925979559803,4.956352788505163e-19,0.09226190476190477,0.4075161697183115,0.26706216340702943
Dracarys70B,3,medium,21,0.46439206831459434,0.4819382647927074,0.46439206831459434,0.0493120123960452,1.32169407693471e-18,0.4712301587301588,0.489843546138965,0.3290833248457743
Dracarys70B,3,no_correct,18,0.0,0.007626421216681334,0.0,0.007626421216681334,0.0,0.0,,0.0
Dracarys70B,4,all_correct,19,1.0,1.0,1.0,0.0,0.0,1.0,,0.25
Dracarys70B,4,easy,28,0.908465356843602,0.9069360098140982,0.908465356843602,0.027237403480707422,2.3790493384824782e-17,0.8861607142857143,0.597083763611588,0.2566042819826537
Dracarys70B,4,hard,14,0.06228199038766254,0.08099166343886362,0.06228199038766254,0.02735838297093109,2.106449935114694e-18,0.09226190476190477,0.4075161697183115,0.19886042065571163
Dracarys70B,4,medium,21,0.461984202694991,0.4810425596424127,0.461984202694991,0.06227442295302123,2.64338815386942e-18,0.4712301587301588,0.489843546138965,0.24521588441420972
Dracarys70B,4,no_correct,18,0.0,0.008114415496109362,0.0,0.008114415496109362,0.0,0.0,,0.0
Dracarys70B,8,all_correct,19,1.0,0.9959723762240054,1.0,0.004027623775994638,0.0,1.0,,0.125
Dracarys70B,8,easy,28,0.9047779965059498,0.9065291479840004,0.9047779965059497,0.05621553953231161,2.7755575615628914e-17,0.8861607142857143,0.597083763611588,0.1277273383201505
Dracarys70B,8,hard,14,0.06135446215851551,0.08110645379974653,0.06135446215851551,0.043113329901840906,5.11123881314595e-19,0.09226190476190477,0.4075161697183115,0.10838688536360756
Dracarys70B,8,medium,21,0.44707234205323315,0.4785994426590369,0.44707234205323315,0.09733391732238054,5.28677630773884e-18,0.4712301587301588,0.489843546138965,0.11752585356999064
Dracarys70B,8,no_correct,18,0.0,0.009005212754523262,0.0,0.009005212754523262,0.0,0.0,,0.0
Dracarys70B,16,all_correct,19,1.0,0.9904315143255977,1.0,0.009568485674402272,0.0,1.0,,0.0625
Dracarys70B,16,easy,28,0.8936952817282681,0.9055335800569528,0.8936952817282681,0.0884996545378099,3.172065784643304e-17,0.8861607142857143,0.597083763611588,0.06306485051309792
Dracarys70B,16,hard,14,0.06962639562870274,0.08070932581545585,0.06962639562870272,0.061722637829343716,2.106449935114694e-18,0.09226190476190477,0.4075161697183115,0.0628466677032236
Dracarys70B,16,medium,21,0.42804661009844347,0.4754396399924179,0.42804661009844347,0.15984621047234254,1.1895246692412391e-17,0.4712301587301588,0.489843546138965,0.054910569591624506
Dracarys70B,16,no_correct,18,0.0,0.00917932432969415,0.0,0.00917932432969415,0.0,0.0,,0.0
Dracarys70B,32,all_correct,19,1.0,0.9834572810607038,1.0,0.016542718939296153,0.0,1.0,,0.03125
Dracarys70B,32,easy,28,0.879005293280611,0.9033605999360058,0.879005293280611,0.11917986055894304,3.172065784643304e-17,0.8861607142857143,0.597083763611588,0.03103778308957647
Dracarys70B,32,hard,14,0.08197542417047395,0.07928836114081769,0.08197542417047395,0.0816049103009754,0.0,0.09226190476190477,0.4075161697183115,0.03385538036800134
Dracarys70B,32,medium,21,0.4107978875957484,0.4708464659593125,0.4107978875957484,0.2444584140435957,2.64338815386942e-18,0.4712301587301588,0.489843546138965,0.025122283050241317
Dracarys70B,32,no_correct,18,0.0,0.00792006453837868,0.0,0.00792006453837868,0.0,0.0,,0.0
Dracarys70B,48,all_correct,19,1.0,0.9781878103944899,1.0,0.021812189605510013,0.0,1.0,,0.020833333333333332
Dracarys70B,48,easy,28,0.8714303418077485,0.9010012573947915,0.8714303418077485,0.13650036391876422,1.1895246692412391e-17,0.8861607142857143,0.597083763611588,0.020533887911498207
Dracarys70B,48,hard,14,0.08521948880869445,0.07760728885204159,0.08521948880869445,0.09123279143028752,1.982541115402065e-18,0.09226190476190477,0.4075161697183115,0.021487270911402716
Dracarys70B,48,medium,21,0.400571372066011,0.466969825655691,0.400571372066011,0.2887941072932715,1.1317005533753456e-17,0.4712301587301588,0.489843546138965,0.01577099728851799
Dracarys70B,48,no_correct,18,0.0,0.005993639046824373,0.0,0.005993639046824373,0.0,0.0,,0.0
GLM5,2,all_correct,50,1.0,1.0,1.0,0.0,0.0,1.0,,0.5
GLM5,2,easy,22,0.9397095959595959,0.9397095959595959,0.9397095959595959,7.065055611250996e-17,4.0371746350005693e-17,0.9242424242424242,0.6604628080585443,0.5085906639989002
GLM5,2,hard,5,0.07265625,0.07265624999999999,0.07265625,8.118505867571457e-17,0.0,0.0625,0.5300555041628121,0.5233333333333324
GLM5,2,medium,18,0.5634886188271604,0.5634886188271605,0.5634886188271604,1.4494578377050655e-16,1.2335811384723961e-17,0.5011574074074074,0.6334397488523629,0.5680993789397444
GLM5,2,no_correct,5,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
GLM5,3,all_correct,50,1.0,1.0,1.0,0.0,0.0,1.0,,0.33333333333333326
GLM5,3,easy,22,0.945972583912037,0.9468102814429489,0.945972583912037,0.01180088518425409,3.532527805625498e-17,0.9242424242424242,0.6604628080585443,0.3413435195473486
GLM5,3,hard,5,0.079931640625,0.09126497307056883,0.079931640625,0.02978283302354649,0.0,0.0625,0.5300555041628121,0.3509259259259254
GLM5,3,medium,18,0.5825562025784464,0.55378989109611,0.5825562025784464,0.07357027924231085,1.2335811384723961e-17,0.5011574074074074,0.6334397488523629,0.39386020902163277
GLM5,3,no_correct,5,0.0,0.007626421216681334,0.0,0.007626421216681334,0.0,0.0,,0.0
GLM5,4,all_correct,50,1.0,1.0,1.0,0.0,0.0,1.0,,0.25
GLM5,4,easy,22,0.950640266324267,0.9467262358504058,0.950640266324267,0.011008302586825698,5.551115123125783e-17,0.9242424242424242,0.6604628080585443,0.25730897141003245
GLM5,4,hard,5,0.0853966606987847,0.09460399788474039,0.0853966606987847,0.03429418711271099,0.0,0.0625,0.5300555041628121,0.26895091869212917
GLM5,4,medium,18,0.5884828188128268,0.5565836706878844,0.5884828188128268,0.10110126757586659,3.0839528461809902e-18,0.5011574074074074,0.6334397488523629,0.29947070506761286
GLM5,4,no_correct,5,0.0,0.008114415496109362,0.0,0.008114415496109362,0.0,0.0,,0.0
GLM5,8,all_correct,50,1.0,0.9959723762240054,1.0,0.004027623775994638,0.0,1.0,,0.125
GLM5,8,easy,22,0.9635119043168268,0.9462859022150617,0.9635119043168268,0.02152818077235964,3.027880976250427e-17,0.9242424242424242,0.6604628080585443,0.13050745356685292
GLM5,8,hard,5,0.09543981207426072,0.1024781220592816,0.09543981207426072,0.04205904383268262,0.0,0.0625,0.5300555041628121,0.1491621967476789
GLM5,8,medium,18,0.5800369488272924,0.563030075129632,0.5800369488272923,0.15851882734483344,9.25185853854297e-18,0.5011574074074074,0.6334397488523629,0.1486626850280559
GLM5,8,no_correct,5,0.0,0.009005212754523262,0.0,0.009005212754523262,0.0,0.0,,0.0
GLM5,16,all_correct,50,1.0,0.9904315143255977,1.0,0.009568485674402272,0.0,1.0,,0.0625
GLM5,16,easy,22,0.9731324636197175,0.9453272672496552,0.9731324636197175,0.03580964440590094,5.0464682937507114e-17,0.9242424242424242,0.6604628080585443,0.06598313059345569
GLM5,16,hard,5,0.0980942938478366,0.1099222348238769,0.0980942938478366,0.05086843930144208,0.0,0.0625,0.5300555041628121,0.07073707502987432
GLM5,16,medium,18,0.5603304275240582,0.5687597938881364,0.5603304275240582,0.22262787220645242,6.1679056923619804e-18,0.5011574074074074,0.6334397488523629,0.07266682452400629
GLM5,16,no_correct,5,0.0,0.00917932432969415,0.0,0.00917932432969415,0.0,0.0,,0.0
GLM5,32,all_correct,50,1.0,0.9834572810607038,1.0,0.016542718939296153,0.0,1.0,,0.03125
GLM5,32,easy,22,0.9790772335730814,0.9435867933570745,0.9790772335730815,0.04494873122881755,3.027880976250427e-17,0.9242424242424242,0.6604628080585443,0.03322437175126285
GLM5,32,hard,5,0.0846987249291511,0.1165063247685804,0.0846987249291511,0.057720224851672074,2.524354896707238e-30,0.0625,0.5300555041628121,0.021390646696133615
GLM5,32,medium,18,0.5559368234058893,0.5730561412801545,0.5559368234058893,0.2883314852904876,1.0793834961633467e-17,0.5011574074074074,0.6334397488523629,0.036745537137690965
GLM5,32,no_correct,5,0.0,0.00792006453837868,0.0,0.00792006453837868,0.0,0.0,,0.0
GLM5,48,all_correct,50,1.0,0.9781878103944899,1.0,0.021812189605510013,0.0,1.0,,0.02083333333333333
GLM5,48,easy,22,0.984088037491262,0.9419196964500839,0.984088037491262,0.04943157231165633,2.0185873175002847e-17,0.9242424242424242,0.6604628080585443,0.022273910268148286
GLM5,48,hard,5,0.06605783767615427,0.11964388704662596,0.06605783767615427,0.05358604937047171,0.0,0.0625,0.5300555041628121,0.008452444543596066
GLM5,48,medium,18,0.5598818913272738,0.5743795376595875,0.5598818913272738,0.33866443014030845,6.264279218805137e-18,0.5011574074074074,0.6334397488523629,0.024879246583656905
GLM5,48,no_correct,5,0.0,0.005993639046824373,0.0,0.005993639046824373,0.0,0.0,,0.0
Gemma3n2B,2,all_correct,33,1.0,1.0,1.0,0.0,0.0,1.0,,0.5
Gemma3n2B,2,easy,26,0.9151976495726496,0.9151976495726496,0.9151976495726496,9.394194823751324e-17,1.708035422500241e-17,0.9038461538461539,0.6118193633045382,0.5066065784042534
Gemma3n2B,2,hard,11,0.10523200757575751,0.10523200757575757,0.10523200757575751,1.3877787807814457e-16,0.0,0.08901515151515152,0.5955940904141985,0.5858676046176038
Gemma3n2B,2,medium,16,0.5309516059027777,0.5309516059027778,0.5309516059027777,7.28583859910259e-17,1.3877787807814457e-17,0.4934895833333333,0.578508860045758,0.5407625315708992
Gemma3n2B,2,no_correct,14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Gemma3n2B,3,all_correct,33,1.0,1.0,1.0,0.0,0.0,1.0,,0.3333333333333333
Gemma3n2B,3,easy,26,0.9149180355235043,0.9154211039143502,0.9149180355235043,0.019510509420860203,2.5620531337503614e-17,0.9038461538461539,0.6118193633045382,0.33756789610436283
Gemma3n2B,3,hard,11,0.11411889073021877,0.1296765972592713,0.11411889073021877,0.026699863633305867,0.0,0.08901515151515152,0.5955940904141985,0.43446706649831573
Gemma3n2B,3,medium,16,0.5413586651837384,0.5319100479229361,0.5413586651837384,0.046646057044851,0.0,0.4934895833333333,0.578508860045758,0.36855696001696087
Gemma3n2B,3,no_correct,14,0.0,0.007626421216681334,0.0,0.007626421216681334,0.0,0.0,,0.0
Gemma3n2B,4,all_correct,33,1.0,1.0,1.0,0.0,0.0,1.0,,0.25
Gemma3n2B,4,easy,26,0.9142486195505402,0.9146674938422403,0.9142486195505402,0.024778549023315558,2.9890619893754213e-17,0.9038461538461539,0.6118193633045382,0.2528647275147309
Gemma3n2B,4,hard,11,0.12078019986650344,0.13315145735526113,0.12078019986650344,0.0328090032065006,3.154042683594195e-19,0.08901515151515152,0.5955940904141985,0.35509197999025405
Gemma3n2B,4,medium,16,0.5444275302651487,0.5332834953809747,0.5444275302651487,0.060297227263259076,1.9081958235744878e-17,0.4934895833333333,0.578508860045758,0.2783335863646522
Gemma3n2B,4,no_correct,14,0.0,0.008114415496109362,0.0,0.008114415496109362,0.0,0.0,,0.0
Gemma3n2B,8,all_correct,33,1.0,0.9959723762240053,1.0,0.004027623775994638,0.0,1.0,,0.125
Gemma3n2B,8,easy,26,0.9167753414008518,0.9124715229570307,0.9167753414008518,0.042075884649813045,3.416070845000482e-17,0.9038461538461539,0.6118193633045382,0.12653415836245302
Gemma3n2B,8,hard,11,0.13796326244690593,0.14126477920535338,0.13796326244690593,0.050549286883714364,0.0,0.08901515151515152,0.5955940904141985,0.21207260711752954
Gemma3n2B,8,medium,16,0.5450173891064579,0.5363077219804703,0.5450173891064579,0.0831390271598829,3.469446951953614e-18,0.4934895833333333,0.578508860045758,0.13963866560757537
Gemma3n2B,8,no_correct,14,0.0,0.009005212754523262,0.0,0.009005212754523262,0.0,0.0,,0.0
