model,problem_idx,target_samples,cached_samples,complete,scan_mode
Super49B,314,256,256,True,file_exists_fast
Super49B,318,256,256,True,file_exists_fast
Super49B,322,256,256,True,file_exists_fast
Super49B,326,256,256,True,file_exists_fast
Super49B,327,256,256,True,file_exists_fast
Super49B,332,256,256,True,file_exists_fast
Super49B,346,256,256,True,file_exists_fast
Super49B,349,256,256,True,file_exists_fast
Super49B,365,256,256,True,file_exists_fast
Super49B,369,256,256,True,file_exists_fast
Super49B,373,256,256,True,file_exists_fast
Super49B,377,256,256,True,file_exists_fast
Super49B,378,256,256,True,file_exists_fast
Super49B,379,256,256,True,file_exists_fast
Super49B,385,256,256,True,file_exists_fast
Super49B,390,256,256,True,file_exists_fast
Super49B,391,256,256,True,file_exists_fast
Super49B,393,256,256,True,file_exists_fast
Super49B,398,256,256,True,file_exists_fast
Super49B,400,256,256,True,file_exists_fast
Super49B,402,256,256,True,file_exists_fast
Super49B,405,256,256,True,file_exists_fast
Super49B,420,256,256,True,file_exists_fast
Super49B,425,256,256,True,file_exists_fast
Super49B,431,256,256,True,file_exists_fast
Super49B,435,256,256,True,file_exists_fast
Super49B,438,256,256,True,file_exists_fast
Super49B,446,256,256,True,file_exists_fast
Super49B,455,256,256,True,file_exists_fast
Super49B,466,256,256,True,file_exists_fast
Super49B,484,256,256,True,file_exists_fast
Super49B,486,256,256,True,file_exists_fast
Super49B,488,256,256,True,file_exists_fast
Super49B,489,256,256,True,file_exists_fast
Super49B,491,256,256,True,file_exists_fast
Super120B,12,256,256,True,file_exists_fast
Super120B,16,256,256,True,file_exists_fast
Super120B,20,256,256,True,file_exists_fast
Super120B,25,256,256,True,file_exists_fast
Super120B,31,256,256,True,file_exists_fast
Super120B,32,256,256,True,file_exists_fast
Super120B,36,256,256,True,file_exists_fast
Super120B,37,256,256,True,file_exists_fast
Super120B,41,256,256,True,file_exists_fast
Super120B,44,256,256,True,file_exists_fast
Super120B,46,256,256,True,file_exists_fast
Super120B,58,256,256,True,file_exists_fast
Super120B,65,256,256,True,file_exists_fast
Super120B,66,256,256,True,file_exists_fast
Super120B,68,256,256,True,file_exists_fast
Super120B,80,256,256,True,file_exists_fast
Super120B,90,256,256,True,file_exists_fast
Super120B,92,256,256,True,file_exists_fast
Super120B,98,256,256,True,file_exists_fast
Super120B,100,256,256,True,file_exists_fast
Super120B,110,256,256,True,file_exists_fast
Super120B,112,256,256,True,file_exists_fast
Super120B,119,256,256,True,file_exists_fast
Super120B,128,256,256,True,file_exists_fast
Super120B,129,256,256,True,file_exists_fast
Super120B,130,256,256,True,file_exists_fast
Super120B,131,256,256,True,file_exists_fast
Super120B,135,256,256,True,file_exists_fast
Super120B,137,256,256,True,file_exists_fast
Super120B,142,256,256,True,file_exists_fast
Super120B,153,256,256,True,file_exists_fast
Super120B,161,256,256,True,file_exists_fast
Super120B,164,256,256,True,file_exists_fast
Super120B,168,256,256,True,file_exists_fast
Super120B,173,256,256,True,file_exists_fast
Super120B,187,256,256,True,file_exists_fast
Super120B,188,256,256,True,file_exists_fast
Super120B,192,256,256,True,file_exists_fast
Super120B,198,256,256,True,file_exists_fast
Super120B,200,256,256,True,file_exists_fast
Super120B,203,256,256,True,file_exists_fast
Super120B,204,256,256,True,file_exists_fast
Super120B,205,256,256,True,file_exists_fast
Super120B,210,256,256,True,file_exists_fast
Super120B,213,256,256,True,file_exists_fast
Super120B,228,256,256,True,file_exists_fast
Super120B,232,256,256,True,file_exists_fast
Super120B,233,256,256,True,file_exists_fast
Super120B,235,256,256,True,file_exists_fast
Super120B,239,256,256,True,file_exists_fast
Super120B,241,256,256,True,file_exists_fast
Super120B,243,256,256,True,file_exists_fast
Super120B,248,256,256,True,file_exists_fast
Super120B,263,256,256,True,file_exists_fast
Super120B,264,256,256,True,file_exists_fast
Super120B,267,256,256,True,file_exists_fast
Super120B,274,256,256,True,file_exists_fast
Super120B,284,256,256,True,file_exists_fast
Super120B,292,256,256,True,file_exists_fast
Super120B,295,256,256,True,file_exists_fast
Super120B,296,256,256,True,file_exists_fast
Super120B,301,256,256,True,file_exists_fast
Super120B,302,256,256,True,file_exists_fast
Super120B,305,256,256,True,file_exists_fast
Super120B,308,256,256,True,file_exists_fast
Super120B,314,256,256,True,file_exists_fast
Super120B,318,256,256,True,file_exists_fast
Super120B,322,256,256,True,file_exists_fast
Super120B,326,256,256,True,file_exists_fast
Super120B,327,256,256,True,file_exists_fast
Super120B,332,256,256,True,file_exists_fast
Super120B,346,256,256,True,file_exists_fast
Super120B,349,256,256,True,file_exists_fast
Super120B,365,256,256,True,file_exists_fast
Super120B,369,256,256,True,file_exists_fast
Super120B,373,256,256,True,file_exists_fast
Super120B,377,256,256,True,file_exists_fast
Super120B,378,256,256,True,file_exists_fast
Super120B,379,256,256,True,file_exists_fast
Super120B,385,256,256,True,file_exists_fast
Super120B,390,256,256,True,file_exists_fast
Super120B,391,256,256,True,file_exists_fast
Super120B,393,256,256,True,file_exists_fast
Super120B,398,256,256,True,file_exists_fast
Super120B,400,256,256,True,file_exists_fast
Super120B,402,256,256,True,file_exists_fast
Super120B,405,256,256,True,file_exists_fast
Super120B,420,256,256,True,file_exists_fast
Super120B,425,256,256,True,file_exists_fast
Super120B,431,256,256,True,file_exists_fast
Super120B,435,256,256,True,file_exists_fast
Super120B,438,256,256,True,file_exists_fast
Super120B,446,256,256,True,file_exists_fast
Super120B,455,256,256,True,file_exists_fast
Super120B,466,256,256,True,file_exists_fast
Super120B,484,256,256,True,file_exists_fast
Super120B,486,256,256,True,file_exists_fast
Super120B,488,256,256,True,file_exists_fast
Super120B,489,256,256,True,file_exists_fast
Super120B,491,256,256,True,file_exists_fast
MistralSmall119B,12,256,256,True,file_exists_fast
MistralSmall119B,16,256,256,True,file_exists_fast
MistralSmall119B,20,256,256,True,file_exists_fast
MistralSmall119B,25,256,256,True,file_exists_fast
MistralSmall119B,31,256,256,True,file_exists_fast
MistralSmall119B,32,256,256,True,file_exists_fast
MistralSmall119B,36,256,256,True,file_exists_fast
MistralSmall119B,37,256,256,True,file_exists_fast
MistralSmall119B,41,256,256,True,file_exists_fast
MistralSmall119B,44,256,256,True,file_exists_fast
MistralSmall119B,46,256,256,True,file_exists_fast
MistralSmall119B,58,256,256,True,file_exists_fast
MistralSmall119B,65,256,256,True,file_exists_fast
MistralSmall119B,66,256,256,True,file_exists_fast
MistralSmall119B,68,256,256,True,file_exists_fast
MistralSmall119B,80,256,256,True,file_exists_fast
MistralSmall119B,90,256,256,True,file_exists_fast
MistralSmall119B,92,256,256,True,file_exists_fast
MistralSmall119B,98,256,256,True,file_exists_fast
MistralSmall119B,100,256,256,True,file_exists_fast
MistralSmall119B,110,256,256,True,file_exists_fast
MistralSmall119B,112,256,256,True,file_exists_fast
MistralSmall119B,119,256,256,True,file_exists_fast
MistralSmall119B,128,256,256,True,file_exists_fast
MistralSmall119B,129,256,256,True,file_exists_fast
MistralSmall119B,130,256,256,True,file_exists_fast
MistralSmall119B,131,256,256,True,file_exists_fast
MistralSmall119B,135,256,256,True,file_exists_fast
MistralSmall119B,137,256,256,True,file_exists_fast
MistralSmall119B,142,256,256,True,file_exists_fast
MistralSmall119B,153,256,256,True,file_exists_fast
MistralSmall119B,161,256,256,True,file_exists_fast
MistralSmall119B,164,256,256,True,file_exists_fast
MistralSmall119B,168,256,256,True,file_exists_fast
MistralSmall119B,173,256,256,True,file_exists_fast
MistralSmall119B,187,256,256,True,file_exists_fast
MistralSmall119B,188,256,256,True,file_exists_fast
MistralSmall119B,192,256,256,True,file_exists_fast
MistralSmall119B,198,256,256,True,file_exists_fast
MistralSmall119B,200,256,256,True,file_exists_fast
MistralSmall119B,203,256,256,True,file_exists_fast
MistralSmall119B,204,256,256,True,file_exists_fast
MistralSmall119B,205,256,256,True,file_exists_fast
MistralSmall119B,210,256,256,True,file_exists_fast
MistralSmall119B,213,256,256,True,file_exists_fast
MistralSmall119B,228,256,256,True,file_exists_fast
MistralSmall119B,232,256,256,True,file_exists_fast
MistralSmall119B,233,256,256,True,file_exists_fast
MistralSmall119B,235,256,256,True,file_exists_fast
MistralSmall119B,239,256,256,True,file_exists_fast
MistralSmall119B,241,256,256,True,file_exists_fast
MistralSmall119B,243,256,256,True,file_exists_fast
MistralSmall119B,248,256,256,True,file_exists_fast
MistralSmall119B,263,256,256,True,file_exists_fast
MistralSmall119B,264,256,256,True,file_exists_fast
MistralSmall119B,267,256,256,True,file_exists_fast
MistralSmall119B,274,256,256,True,file_exists_fast
MistralSmall119B,284,256,256,True,file_exists_fast
MistralSmall119B,292,256,256,True,file_exists_fast
MistralSmall119B,295,256,256,True,file_exists_fast
MistralSmall119B,296,256,256,True,file_exists_fast
MistralSmall119B,301,256,256,True,file_exists_fast
MistralSmall119B,302,256,256,True,file_exists_fast
MistralSmall119B,305,256,256,True,file_exists_fast
MistralSmall119B,308,256,256,True,file_exists_fast
MistralSmall119B,314,256,256,True,file_exists_fast
MistralSmall119B,318,256,256,True,file_exists_fast
MistralSmall119B,322,256,256,True,file_exists_fast
MistralSmall119B,326,256,256,True,file_exists_fast
MistralSmall119B,327,256,256,True,file_exists_fast
MistralSmall119B,332,256,256,True,file_exists_fast
MistralSmall119B,346,256,256,True,file_exists_fast
MistralSmall119B,349,256,256,True,file_exists_fast
MistralSmall119B,365,256,256,True,file_exists_fast
MistralSmall119B,369,256,256,True,file_exists_fast
MistralSmall119B,373,256,256,True,file_exists_fast
MistralSmall119B,377,256,256,True,file_exists_fast
MistralSmall119B,378,256,256,True,file_exists_fast
MistralSmall119B,379,256,256,True,file_exists_fast
MistralSmall119B,385,256,256,True,file_exists_fast
MistralSmall119B,390,256,256,True,file_exists_fast
MistralSmall119B,391,256,256,True,file_exists_fast
MistralSmall119B,393,256,256,True,file_exists_fast
MistralSmall119B,398,256,256,True,file_exists_fast
MistralSmall119B,400,256,256,True,file_exists_fast
MistralSmall119B,402,256,256,True,file_exists_fast
MistralSmall119B,405,256,256,True,file_exists_fast
MistralSmall119B,420,256,256,True,file_exists_fast
MistralSmall119B,425,256,256,True,file_exists_fast
MistralSmall119B,431,256,256,True,file_exists_fast
MistralSmall119B,435,256,256,True,file_exists_fast
MistralSmall119B,438,256,256,True,file_exists_fast
MistralSmall119B,446,256,256,True,file_exists_fast
MistralSmall119B,455,256,256,True,file_exists_fast
MistralSmall119B,466,256,256,True,file_exists_fast
MistralSmall119B,484,256,256,True,file_exists_fast
MistralSmall119B,486,256,256,True,file_exists_fast
MistralSmall119B,488,256,256,True,file_exists_fast
MistralSmall119B,489,256,256,True,file_exists_fast
MistralSmall119B,491,256,256,True,file_exists_fast
