K,N,model,heldout_MAE_mean,heldout_MAE_std,heldout_MAE_ci_low,heldout_MAE_ci_high,num_problems_used,num_splits
24,8,MistralSmall119B,0.038207120870648134,0.002743470494631468,0.03700474191267699,0.03940949982861928,500,20
24,16,MistralSmall119B,0.0453351902304254,0.003778271210343955,0.04367928986272854,0.04699109059812226,500,20
32,2,MistralSmall119B,0.02909169921875,0.0017701391258088271,0.028315901541421645,0.029867496896078354,500,20
32,8,MistralSmall119B,0.03974644144182175,0.0030923083872822616,0.038391177536596,0.041101705347047504,500,20
32,16,MistralSmall119B,0.0475871441594605,0.003260501047621457,0.04615816657075509,0.04901612174816591,500,20
8,2,Mixtral8x22B,0.09559787500000001,0.0042537329793803985,0.09373359432439467,0.09746215567560536,500,20
8,8,Mixtral8x22B,0.14731980013754872,0.005220065504800161,0.14503200555966467,0.14960759471543278,500,20
8,16,Mixtral8x22B,0.17818347841143684,0.006944891064461401,0.1751397457022094,0.18122721112066428,500,20
8,32,Mixtral8x22B,0.19416831513632965,0.008742680797976715,0.19033666633663748,0.19799996393602182,500,20
16,2,Mixtral8x22B,0.0756650390625,0.002590018133058502,0.07452991356723872,0.07680016455776127,500,20
16,8,Mixtral8x22B,0.11852754393940597,0.0052198593571083024,0.1162398397097314,0.12081524816908054,500,20
16,16,Mixtral8x22B,0.15061385956381743,0.007685967821046638,0.14724533564575312,0.15398238348188173,500,20
16,32,Mixtral8x22B,0.17917134057216536,0.011308552862764606,0.17421514875822022,0.1841275323861105,500,20
24,2,Mixtral8x22B,0.07094027777777778,0.0027669992820387786,0.06972758687406475,0.07215296868149082,500,20
24,8,Mixtral8x22B,0.11211433740391855,0.005302519996680195,0.10979040555165129,0.1144382692561858,500,20
24,16,Mixtral8x22B,0.1431165046014215,0.0068838456084029855,0.140099526242929,0.146133482959914,500,20
32,2,Mixtral8x22B,0.07555722656250001,0.003158654365527519,0.07417288525026579,0.07694156787473423,500,20
32,8,Mixtral8x22B,0.1203415101575485,0.004441162500420119,0.11839508487253629,0.12228793544256071,500,20
32,16,Mixtral8x22B,0.15116743352923062,0.006130129718895559,0.14848078572381157,0.15385408133464967,500,20
8,2,Mixtral8x7B,0.09097124999999999,0.003113150323098858,0.08960685171366159,0.09233564828633839,500,20
8,8,Mixtral8x7B,0.14365555804922037,0.005213129373818072,0.14137080336477018,0.14594031273367056,500,20
8,16,Mixtral8x7B,0.1741107385506701,0.005781905244915561,0.17157670684991974,0.17664477025142047,500,20
8,32,Mixtral8x7B,0.18996377542341242,0.006814224693575361,0.18697730977616914,0.1929502410706557,500,20
16,2,Mixtral8x7B,0.07376376953125,0.002848105786849354,0.07251553213453488,0.07501200692796511,500,20
16,8,Mixtral8x7B,0.11892120823535579,0.005468242772969366,0.11652464517402082,0.12131777129669076,500,20
16,16,Mixtral8x7B,0.15110031905165677,0.007151951383324033,0.14796583815653908,0.15423479994677447,500,20
16,32,Mixtral8x7B,0.1785165002776479,0.008848525189369346,0.17463846312813427,0.18239453742716152,500,20
24,2,Mixtral8x7B,0.06943784722222222,0.0028363788268736313,0.06819474939232344,0.07068094505212101,500,20
24,8,Mixtral8x7B,0.1123226487554277,0.004357868591133202,0.11041272863569783,0.11423256887515758,500,20
24,16,Mixtral8x7B,0.14375628630384876,0.005701852397336999,0.14125733931045809,0.14625523329723944,500,20
32,2,Mixtral8x7B,0.07253642578125,0.003346336810454799,0.0710698290108278,0.0740030225516722,500,20
32,8,Mixtral8x7B,0.11724956492506924,0.004434028198846365,0.11530626638558204,0.11919286346455644,500,20
32,16,Mixtral8x7B,0.1491283209566485,0.005684197475242087,0.1466371115740224,0.15161953033927458,500,20
8,2,Qwen122B,0.020776999999999997,0.0016814008883572129,0.020040093569976124,0.02151390643002387,500,20
8,8,Qwen122B,0.03045347154514978,0.0021532978537676752,0.02950974715129131,0.03139719593900825,500,20
8,16,Qwen122B,0.03641938225239207,0.002860715606044791,0.03516561835874758,0.03767314614603656,500,20
8,32,Qwen122B,0.039549696955378376,0.0034525588798245293,0.038036546310463173,0.04106284760029358,500,20
16,2,Qwen122B,0.017145800781249998,0.0012314082857997261,0.01660611230476948,0.017685489257730516,500,20
16,8,Qwen122B,0.025478738575973603,0.002700372587447353,0.024295248108632185,0.02666222904331502,500,20
16,16,Qwen122B,0.03204830136176813,0.003068603560595568,0.030703426554900173,0.03339317616863609,500,20
16,32,Qwen122B,0.037801716587957626,0.00353023381206615,0.036254523403028996,0.039348909772886256,500,20
24,2,Qwen122B,0.01642638888888889,0.0011043687059996861,0.01594237796311649,0.01691039981466129,500,20
24,8,Qwen122B,0.023808704971318706,0.0018067236259387447,0.023016873429864533,0.02460053651277288,500,20
24,16,Qwen122B,0.030114546335998322,0.002049435590932038,0.02921634158581935,0.031012751086177293,500,20
32,2,Qwen122B,0.01691416015625,0.0010179527338466574,0.016468022700140476,0.017360297612359524,500,20
32,8,Qwen122B,0.024705531886301556,0.0020779096708035236,0.023794847820397463,0.02561621595220565,500,20
32,16,Qwen122B,0.031054899057115542,0.0026200482015379255,0.029906612304054427,0.03220318581017666,500,20
8,2,Qwen397B,0.030680375000000003,0.0019383563090724727,0.02983085289154648,0.031529897108453525,500,20
8,8,Qwen397B,0.04898731253340088,0.003488052012827278,0.04745860633709247,0.05051601872970928,500,20
8,16,Qwen397B,0.06298980331599785,0.004079242322064358,0.06120199654274717,0.06477761008924852,500,20
8,32,Qwen397B,0.07411872913627134,0.0044578056070371875,0.07216500968817963,0.07607244858436304,500,20
16,2,Qwen397B,0.025920605468749996,0.0013064684840523456,0.025348020409952775,0.026493190527547218,500,20
16,8,Qwen397B,0.04381785276165602,0.002966357557219877,0.042517789241527305,0.045117916281784735,500,20
16,16,Qwen397B,0.059474874733011884,0.0038419132683000087,0.05779108200362275,0.06115866746240102,500,20
16,32,Qwen397B,0.0756902464799917,0.004500696571540195,0.07371772923789914,0.07766276372208426,500,20
24,2,Qwen397B,0.02436944444444444,0.0013980919508347627,0.023756703630835523,0.024982185258053357,500,20
24,8,Qwen397B,0.04105400291845358,0.002418759564536127,0.03999393480017759,0.042114071036729574,500,20
24,16,Qwen397B,0.05625974240075358,0.0035572676057290275,0.05470070113336224,0.05781878366814491,500,20
32,2,Qwen397B,0.025678222656250006,0.0019096618478936665,0.024841276449888098,0.026515168862611915,500,20
32,8,Qwen397B,0.043766464134781476,0.002149122902405694,0.04282456949403244,0.04470835877553051,500,20
32,16,Qwen397B,0.05974056642914842,0.002416861919578638,0.05868132999044436,0.06079980286785248,500,20
8,2,QwenNext80B,0.022684125,0.0021883276291497127,0.021725048130179336,0.023643201869820663,500,20
8,8,QwenNext80B,0.03034711077895826,0.002935857089012655,0.0290604146783999,0.03163380687951662,500,20
8,16,QwenNext80B,0.03469115837520602,0.003076710556491335,0.033342730520730474,0.036039586229681564,500,20
8,32,QwenNext80B,0.036362288215295566,0.0034120785340931636,0.034866878864122736,0.037857697566468396,500,20
16,2,QwenNext80B,0.017996679687500003,0.0016887289528336,0.01725656159161484,0.018736797783385165,500,20
16,8,QwenNext80B,0.024332818029890225,0.0022484749233599864,0.02334738044612026,0.02531825561366019,500,20
16,16,QwenNext80B,0.02789185681375831,0.0026487510722375345,0.02673099047297059,0.02905272315454603,500,20
16,32,QwenNext80B,0.030156783517018455,0.0030647889908631066,0.02881358051904693,0.03149998651498998,500,20
24,2,QwenNext80B,0.01735590277777778,0.0012635652720934048,0.01680212088066564,0.017909684674889917,500,20
24,8,QwenNext80B,0.024229921261226056,0.0022263133907745617,0.02325419639735202,0.02520564612510009,500,20
24,16,QwenNext80B,0.02811981864908223,0.0032411594720890106,0.026699317879602592,0.029540319418561868,500,20
32,2,QwenNext80B,0.0181716796875,0.0013886320283072128,0.017563084867738447,0.018780274507261555,500,20
32,8,QwenNext80B,0.024425130058618925,0.0015334036962276819,0.023753086257882878,0.025097173859354973,500,20
32,16,QwenNext80B,0.028254409658302858,0.002725871633598103,0.02705974374125276,0.029449075575352954,500,20
8,2,Stockmark100B,0.07121467935871743,0.0030560068457869544,0.0698753253055281,0.07255403341190676,499,20
8,8,Stockmark100B,0.10480798958156949,0.004660310502628078,0.10276551844986351,0.10685046071327547,499,20
8,16,Stockmark100B,0.1255204968164391,0.006451328069212751,0.1226930776272883,0.12834791600558987,499,20
